peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1157	0	0	0	0	1	0
peak.1158	4	1	3	0	0	2
peak.1159	2	0	2	0	2	0
peak.116	0	0	0	0	0	0
peak.1160	1	0	1	0	0	0
peak.1161	1	0	0	1	0	0
peak.1162	3	1	1	0	0	0
peak.1163	2	0	2	0	0	0
peak.1164	2	0	2	0	1	0
peak.1165	1	1	1	1	0	0
peak.1166	0	0	0	0	2	1
peak.1167	0	0	0	0	0	0
peak.1168	1	1	1	0	1	0
peak.1169	3	1	2	0	3	1
peak.117	0	0	0	0	0	0
peak.1170	2	2	1	0	0	1
peak.1171	5	2	3	0	0	0
peak.1172	3	1	1	0	0	0
peak.1173	0	0	0	0	1	1
peak.1174	2	0	2	0	1	0
peak.1175	1	0	2	0	0	3
peak.1176	0	1	0	0	0	1
peak.1177	2	1	2	0	0	1
peak.1178	3	0	3	0	1	1
peak.1179	1	0	2	0	2	0
peak.118	1	1	0	2	0	1
peak.1180	2	0	2	0	2	1
peak.1181	3	0	3	1	0	0
peak.1182	0	0	1	0	1	0
peak.1183	2	1	2	1	0	1
peak.1184	1	0	0	1	0	0
peak.1185	0	5	0	0	2	0
peak.1186	1	1	1	1	2	0
peak.1187	5	0	2	0	0	1
peak.1188	0	0	0	0	0	1
peak.1189	1	0	0	0	0	0
peak.119	2	0	2	0	0	1
peak.1190	2	1	1	0	1	4
peak.1191	1	1	2	0	1	1
peak.1192	0	0	0	0	0	0
peak.1193	1	1	2	0	3	1
peak.1194	2	0	1	0	0	0
peak.1195	0	0	0	0	2	0
peak.1196	0	0	0	0	0	0
peak.1197	1	0	1	0	1	0
peak.1198	1	3	0	0	1	0
peak.1199	1	0	1	0	0	0
peak.12	1	0	1	0	2	0
peak.120	0	0	0	0	0	1
peak.1200	2	1	2	0	1	2
peak.1201	0	2	0	0	3	2
peak.1202	1	0	1	0	0	0
peak.1203	2	0	2	0	0	1
peak.1204	1	0	0	2	2	1
peak.1205	1	0	1	0	1	2
peak.1206	3	0	2	0	0	2
peak.1207	0	2	1	0	1	0
peak.1208	2	1	2	0	0	1
peak.1209	1	0	1	1	2	1
peak.121	2	0	1	0	2	1
peak.1210	0	0	1	0	0	1
peak.1211	3	0	2	0	2	0
peak.1212	0	0	0	3	2	2
peak.1213	0	2	0	1	2	0
peak.1214	2	1	1	1	0	1
peak.1215	2	0	1	1	2	0
peak.1216	2	1	2	0	1	0
peak.1217	2	0	2	0	0	1
peak.1218	2	0	2	0	1	0
peak.1219	1	5	1	0	0	2
peak.122	6	5	3	0	0	0
peak.1220	2	2	2	0	2	3
peak.1221	1	0	1	0	0	0
