label	wt_olap.DREME.1	e80a_olap.DREME.1	k88n_olap.MEME.2	k88n_olap.DREME.1	k88n_gain.MEME.1	e80a_loss.MEME.3	CRX_Corbo	Crx.MA0467.1	NRL.MA0842.2	FOS::JUN.MA0099.2	Lee_2010_CRX
peak.32	1.3410627343682822e-10	1.1641222096728932e-10	0.002403655383492836	0.49944782097722057	3.3931567012319075e-08	0.0015652067206361052	0.0002812758983882365	6.74265440001539e-13	3.105645537585347e-12	0.00044987465902301634	0.007222910429825143
peak.33	0.5249791886713016	0.4896277269150233	3.1041326873839367e-21	1.5191502565690384e-09	3.2789291016027516e-24	3.3939367472659125e-12	0.45722454550844654	2.529143807441958e-08	1.0061147049097314e-16	2.0933531783151734e-09	0.6869391308834378
peak.34	0.5058819683965942	0.5249791882045893	2.4809510776971774e-15	4.878439433102434e-10	3.5096232321341793e-19	1.399984458165877e-10	0.5314538980385162	0.0005098678324515153	4.761057040290061e-15	0.0028943781364075085	0.6307580065268682
peak.35	0.5249791876130463	0.48962772596558796	2.5831824544927366e-25	3.039271737218224e-20	2.06835531884434e-29	1.9083689046198678e-16	0.06574811869820793	2.7141916508730763e-11	2.911133851350667e-19	6.666238498348181e-06	0.19030659415546827
peak.36	0.5058819678319534	0.524979187641823	3.713955923840789e-17	1.1200878496597333e-10	3.0135238851167795e-17	1.3128507075830886e-08	0.22076082881278988	7.435634089687061e-10	9.77214018838358e-15	2.350838864110549e-07	0.3570962881078808
peak.37	4.71370605369635e-10	4.198594630810515e-10	3.1991136072188196e-14	3.0231231789580804e-10	1.1920102114646676e-11	1.4126553459561636e-05	0.018148343590932207	0.00024474604944015434	1.1904595049220483e-17	2.2237944284258023e-05	0.10301559327273029
peak.38	0.5058819689300404	0.5249791886788939	1.7357430940107256e-10	4.7129391513954864e-11	2.0533451869874043e-15	1.4918766751759807e-07	0.36916556460854727	0.0009965536779457929	2.5407063861724244e-16	2.9294918821540038e-06	0.5614023708683065
peak.39	3.2285936164426347e-10	3.107002126554875e-10	5.019700264956167e-19	4.2550351170859817e-11	5.8218006278864066e-18	2.9509074619434234e-06	0.0049373562083801	2.0412482064578016e-08	1.5118648866161237e-14	4.804865190659835e-06	0.04969290593379927
peak.40	7.892472494158779e-11	5.292874845969397e-11	1.273215463899218e-18	4.255035120434757e-11	1.1205659310647848e-19	2.021511337519667e-14	5.9212691293653894e-05	5.8199033520205216e-11	4.47396982680701e-16	0.023717556447886947	0.0018167919456989305
peak.41	1.341062737584063e-10	1.1641222121328124e-10	3.2421268172359705e-05	0.6315735250365211	5.899268807733339e-09	1.7180339986834484e-07	0.0013772644276956948	2.870160753794988e-14	1.419558967268782e-17	8.672134823954581e-09	0.018263004614272105
peak.42	0.5058819676996739	0.5249791875215892	5.882130924107597e-17	2.2378601549849423e-10	1.6261204785091106e-14	0.00012691951352698002	0.5262679425035203	1.2301765458385605e-08	1.7111325538668532e-15	0.00021063846296600911	0.5595550572554058
peak.43	3.816858853272968e-10	2.614081890334201e-10	7.0934163582670034e-15	5.992185048308508e-10	3.305477183465542e-20	1.0602088276655201e-10	0.00908542317404221	1.421726990718048e-10	7.918511207560422e-15	5.2481495571810444e-05	0.06035709875393679
peak.44	0.5820798838426305	0.5567613275943337	4.771749564404454e-19	3.2461893081984404e-19	2.674598460823826e-20	2.9091594391831576e-10	0.5538986226692476	7.540669968303352e-05	1.3632475655592664e-07	1.1356021876303494e-05	0.6568739904725588
peak.45	0.5058819680207064	0.5249791878361111	2.6500004385675548e-18	1.812356647361821e-10	1.990259248084605e-17	3.4879532289876363e-10	0.34183552110772236	0.00015094926335025973	1.9663124368837554e-16	1.352177631249191e-05	0.4786261866732679
peak.46	1.123049398116865e-10	6.049308764644962e-11	9.957974925597157e-20	0.8407659490168896	3.013587789066631e-23	7.961830272241604e-10	0.005445095771422881	9.489192542384055e-13	1.6968429408960623e-17	2.092061065117502e-06	0.0421684880634006
peak.47	1.1185340216502907e-09	9.992071481362686e-10	3.351875337012398e-18	5.717169261251485e-10	1.619944149264533e-15	0.00243765312099402	0.002965721733839341	5.371491466538729e-08	4.423487734251714e-17	2.392851136653753e-06	0.04237476461814573
peak.48	0.8871982048127562	0.7770526273824833	2.6810449742747983e-11	6.68111921142059e-11	5.946300462367189e-19	3.8334968330821645e-14	0.5017528434267017	0.00033931436646180183	5.7616892971607875e-18	2.6746989510578037e-06	0.7283380727311501
peak.49	0.7244380346673607	0.5748498030232606	2.5836681703117035e-11	2.380076973980478e-10	4.721637129539124e-16	1.2127670387038087e-08	0.051466724711042626	0.00020172745522869254	8.481398246830144e-11	0.00016181762671874485	0.23935283095098067
peak.50	3.2055860421526474e-19	2.555778780611426e-19	4.422783917643679e-14	1.210766538831803e-10	6.668113938959766e-18	3.887852749054734e-11	0.0005839545557383194	1.1686616940802452e-16	8.645869451352758e-16	5.398754024697386e-08	0.007837957449593251
peak.51	1.0008841916734775e-11	3.9831783505069145e-12	2.6887011297093437e-17	1.8131487774623759e-19	1.6606279586838636e-16	4.267525513642802e-05	0.0036776764739450693	1.7402688157875605e-09	3.5922053902801835e-16	0.0007293451944228561	0.03774323505998119
peak.52	0.3800644109882038	0.25933673384158296	7.56874280715631e-14	7.568619319325271e-11	2.589658161158041e-22	6.261739903689102e-14	0.0903459493293288	1.9284715695252645e-05	2.1796459789682686e-18	2.430899832339033e-06	0.27499033563115444
peak.53	1.3850424746747138e-19	1.2705248631471312e-19	6.106995383023347e-24	8.215575907933786e-20	1.4920617749099734e-25	3.0819915798951154e-18	0.00019118689504013235	9.006884369497571e-15	6.766869371493578e-23	2.615018113541144e-06	0.00516486385233705
peak.54	0.5249791875533327	0.4896277258916634	3.6369125677856275e-26	0.2596200150346997	2.39252255787211e-27	2.2493095697479033e-14	0.35041828099781996	7.19663738767314e-09	9.435940248277908e-22	4.3634064053818696e-05	0.46111288297855507
peak.55	0.5249791874889489	0.48962772585315895	8.868123911958152e-26	1.0947223775519153e-19	9.513814697006044e-24	1.5281169116556654e-17	0.34948013309969467	1.6098322750188282e-06	0.001225972198980427	8.508027079139987e-09	0.453064221755137
peak.56	1.2423333438384183e-10	1.3410627329727695e-10	4.334926110144804e-30	8.503986732480567e-20	2.0396093815553808e-30	2.211962665495597e-18	0.00035631499190405514	7.97335488501901e-12	5.3144784733483873e-11	2.378137116137229e-07	0.00589138436786996
peak.57	1.3410627323695724e-10	1.1641222082736453e-10	3.1195860528623733e-24	4.712939135729905e-11	4.6893666267286485e-26	6.231524407638402e-19	0.0005208004533774753	1.2437206567119372e-12	2.0400169329288508e-13	7.312666509885567e-08	0.010297709264518975
