label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.1	2.048416807823447	0.15830101018977152	2.016121730036655	4.0664379286283e-06	1.7378398424952492e-06	0.005681664822527505	8.795309861795897e-08	0.004835114404757867	1.000465721313476	1.0716052932811104e-06	0.19502336595685987	1.2090148891688057e-11	4.665848913510414e-06	5.347899356879812e-06	0.008356313198792377	9.458257068484753e-10	1.2655700588726766e-10
peak.2	1.2400582746361426	0.00011675710079225851	0.008316578142459235	8.35518026679387e-12	4.339512963436309e-15	1.1674634195814101e-11	3.006762329481914e-15	7.261978703218473e-06	0.0016751813640847565	3.3842950149818305e-06	6.507044008675004e-08	8.145567224958116e-07	1.9281466547419006e-07	0.005667691199757318	5.0277435986090555e-08	1.0532630354413972	2.8519509672267146e-08
peak.3	4.726344452024123	3.353629303631722	4.572540736035603	0.7979831992173533	0.00014140751987182825	0.000547469632404219	9.331235951665695e-10	0.03794400446914691	0.006566933161709886	5.178140731782178e-10	0.0036408782664161996	3.709742900148761e-12	2.4301757762897362e-05	7.060296817576185e-05	1.633003955428507e-05	0.420251351439642	0.6855372896378411
peak.4	3.3519274879989083	0.021277865184227418	1.8843837325241322	2.4914131425565084e-05	2.312898905018345e-12	6.373650364600145e-10	4.241838253343021e-15	6.568104863626491e-05	0.8611291057571695	4.0042474734451043e-16	0.025179278412018453	5.970627162225219e-12	1.4002942929450908e-06	0.9998064124241638	0.00019793255297188034	1.4513239234720503	5.055669261572476e-09
peak.5	1.9091683026339639	2.2318456544353482e-05	0.02857678135059064	3.314433939240854e-07	0.9654592488492988	0.0027096041060846606	0.000308233220101055	0.08656439072015544	0.02018653029168158	8.91076996847887e-11	0.00010111769995577406	5.901454144898615e-08	0.06690922706270434	0.00012668509656333117	1.9879576973812363e-09	1.3553159533639917e-10	2.1092819642340283e-21
peak.6	1.0098045390606079	0.0009446109634603451	0.24079071223664295	7.48928099512298e-12	1.718008937646832e-12	2.7341945204084234e-10	3.495003351136359e-18	1.5183617638076947e-05	0.0011411308436092503	2.6472106361826003e-16	0.0004988463456404528	0.040571350339425105	4.91656125257482e-06	1.2259795252077853e-05	1.930841912377192e-06	0.00010830124116624009	1.0969516957847956e-08
peak.7	2.185899580439315	0.9822480285759214	2.1368583849829723	7.255726808260156e-07	3.0454711451363976e-15	1.3893007484555442e-09	1.2907498406957023e-15	9.010209795792313e-06	1.0624596321209474	3.0538349937247884e-11	0.0005113789710680228	8.13800310143556e-06	1.8062286219739754	0.0008934469085843384	0.017004965870094896	0.0014232133212040419	4.961030070168437e-07
peak.8	2.0832311674888904	1.419866661849653e-06	0.0009993784573376794	4.877800544869049e-18	1.1242580438030102e-11	2.4344386140791972e-14	1.3874585795024092e-16	1.263718121878772e-06	1.1107073559241794	1.2248905013997734e-06	0.00037754556561120475	6.972849033838387e-10	0.019822993167787586	5.972813468922028e-07	9.17869886874157e-09	2.1412259111691063e-09	6.007720040021901e-11
peak.9	2.462117398404479	1.9990332614533686	2.016762583024919	1.0004021302227781	3.344212665196455e-05	2.6158628462998432e-06	4.262935317402047e-11	0.2727600672188135	0.013079205466408853	2.3212666375829012e-08	0.4094243635324997	1.310991188517277e-05	0.28093950485577385	4.1811089262132425e-05	0.005000424445998334	0.001607427887098362	0.10714626400461857
peak.10	3.7909666181646067	3.408766550944393e-05	0.012381963456789163	1.2391985093715048e-13	0.5572868024686459	7.064216104819826e-09	3.267006753965498e-13	6.464139277418421e-05	0.978275756434716	5.232999404573047e-10	1.3549963492786441e-08	9.90095186016742e-09	2.4827976138215875e-06	0.010234380388011877	5.319967816663633e-08	1.2658121207353047e-07	2.5840408461440746e-15
peak.11	1.6939617863270102	2.4414099709865034	3.480354460105623	0.0842139189832212	5.742629735368442e-08	0.002170329122526554	4.363645018643572e-09	0.008350766360391523	5.140669857714402e-05	3.053902517493671e-11	1.3247938910004719e-08	1.1691721342244321e-07	0.04911668335413871	3.600217402167911e-08	7.207680097459048e-08	2.1853419606455405e-13	2.4002960732995986e-21
peak.12	1.1799013418334756	2.8213243351879353e-06	0.0031838508051281527	4.936093948742419e-14	5.3810986901049946e-09	1.0991455575081689e-10	1.4595013917799507e-15	0.0008063926000024329	0.30456705030651104	4.6473040021528356e-10	0.0019133015395687218	1.4794970770896212e-13	2.585631287820955e-06	0.9920035432476285	0.49104706107583473	0.13873669416978301	9.344241934791278e-06
peak.13	0.2739729125295047	0.00015099591079486096	0.0034150454515386413	7.017181459601574e-19	3.640161308440536e-08	9.270670070982802e-11	2.9662619762261e-16	4.464881791674034e-08	7.414588715764058e-05	4.6473026656579293e-10	9.419697118653029e-11	2.2854603442597096e-09	0.012130313806038587	1.905744190207073e-07	2.365602673090467e-06	2.942667221674177e-07	6.437340917800101e-13
peak.14	1.0537656703755873	0.4231184794233943	1.3728952550181266	1.8525204689266408e-11	5.364765486513218e-10	7.280191739449858e-10	7.070336022684131e-15	3.517305542627282e-06	4.211283740244104e-05	1.2968899901249965e-07	3.20242705825371e-09	1.0223604658966836e-08	3.582412977821865e-06	1.383099679674535e-06	1.2668842862524482e-05	4.918670147131865e-08	4.7843626637477764e-14
peak.15	2.4058215525978333	0.0017930994907145125	0.174120727101174	2.180037249358145e-10	0.22191243338146657	9.255169450494405e-06	1.0772695215518335e-05	0.00464970132543955	0.009717611021138895	1.1086624068658552e-06	0.9949598107405745	8.631031912161149e-07	8.868047650132467e-08	6.831005407866971e-09	1.2278348351100825e-14	4.21067805207812e-07	5.3956164841637755e-11
peak.16	1.5923580340718364	0.002189679638135103	0.3982084441670838	3.942340250353494e-10	6.483484312066298e-13	2.042365940462171e-14	4.360978719754442e-19	4.6224082084552464e-07	5.953677805087392e-06	4.097854657134638e-16	7.963599329194273e-05	1.3567158909480397e-11	4.522021677603428e-06	1.5170194343391717e-06	0.0007248731578466784	0.026089474195869964	8.960153157600291e-09
peak.17	3.6606638836092875	1.1020340819261158	3.3481606917440994	4.582193536808697e-07	1.573307973137711	1.9801945863117316	0.09428464560706964	0.5746565474498309	0.011393716783888624	1.1724170645634013e-06	0.017393740092458622	1.309567173028792e-09	9.551365246551388e-06	1.8553960666647078e-06	1.9467391232680362e-05	3.2807096726803757e-09	1.1807413896502407e-10
peak.18	0.010551731112393993	0.0006700337133453113	0.00182866563840181	1.5841362066392563e-10	9.893800503556205e-19	2.007323426744407e-12	1.1430642729306552e-18	1.1327417877348469e-05	0.008364295375177229	9.966856698963029e-07	5.2591480001010004e-11	3.7929166495617764e-10	0.00016444557249749376	9.272243192552193e-05	5.433264856748189e-06	0.000228907154246693	7.140871771714994e-08
peak.19	3.904510599537895	1.7974119320258708	2.2901970978490054	0.8383861979673288	1.4831051716261219	0.002447904478249015	3.62529506183509e-10	0.0002640498327974516	0.34647734278951714	1.244360851511684e-07	0.0018221107128610166	0.9554185017629826	0.09815376909712781	0.0002719377323996958	1.7897053365068222e-05	0.08152521184070904	1.2127590613536132e-08
peak.20	1.6391756710956749	8.778307766065148e-05	0.003972765662961983	6.772326990887768e-10	2.6429643059029954e-13	1.115775991417112e-10	1.2584966366507138e-15	0.0072592634962638115	0.12827382993928033	1.0955746176757492e-06	0.014097777463550683	2.6925833519003575e-08	4.886025543966747e-07	1.0163724951903248	0.49584147752582086	0.8998457461173323	0.0012051645467903557
peak.21	3.4562834445543924	0.000665611776523517	0.1147694261494021	1.371573698166289e-13	1.1916334502782894e-11	2.992356810025327e-11	4.178342811512464e-18	0.0007333175357569462	0.04514538368246745	3.053878259431268e-11	0.9381819271229982	1.6096178706097013e-13	4.062911938158692e-06	4.15055053049415e-06	8.948265524677844e-07	0.0007150056093617316	0.21313363228653998
